task,method,classifier,primary_mean,primary_std,auc_mean,auc_std,accuracy_mean,balanced_accuracy_mean,precision_mean,recall_mean
seizure_detection,asr,mobilenet,0.6600583193613383,0.05962003450809136,0.7334939771622817,0.07751512149610877,0.6589046973346153,0.6600583193613383,0.6602144922464295,0.6718481688215829
seizure_detection,asr,random_forest,0.6804101566759649,0.10977180367041618,0.7573617207500565,0.13991683357968507,0.6789782793042247,0.6804101566759649,0.7148332699460703,0.604237856899724
seizure_detection,asr,svm,0.6509651314932026,0.07746134555960241,0.6970725266793363,0.09527641017161155,0.6608132182472719,0.6509651314932026,0.6578213742843098,0.5885779953033332
seizure_detection,asr,vit,0.6574494711472769,0.07185892841322539,0.7194428877041975,0.10693013749221465,0.6765733295621025,0.6574494711472769,0.6835395471443162,0.5829597328975903
seizure_detection,asr20,eegnet,0.6601737933122201,0.12063345996817898,0.7593144567156563,0.14865609438242577,0.6608032162045359,0.6601737933122201,0.7398538758909566,0.515489331812054
seizure_detection,asr20,lightgbm,0.6857303378586272,0.11833818950646041,0.7778611918825257,0.1339637964716785,0.687447351752412,0.6857303378586272,0.7386342820894194,0.5946028561603577
seizure_detection,asr20,logistic_regression,0.6869255646273003,0.08069495429290002,0.7322444108056138,0.10438025829377155,0.6957866932027026,0.6869255646273003,0.7201817959325423,0.6037438288185573
seizure_detection,asr20,mlp,0.6498723954595759,0.09431155297937456,0.6859739288133284,0.11013554865283497,0.6563715779638672,0.6498723954595759,0.6920814541889025,0.5335989670592448
seizure_detection,asr20,mobilenet,0.6463935777135842,0.0989964248312407,0.6914241469488557,0.13613190467362413,0.6537216640871061,0.6463935777135842,0.6688262379238894,0.6188796235328811
seizure_detection,asr20,random_forest,0.6709012589611879,0.12531379995313877,0.7623425271547333,0.1471165953477184,0.6698131792041611,0.6709012589611879,0.7160509146604539,0.5789513212714729
seizure_detection,asr20,svm,0.6800321170534612,0.07754371939978744,0.7241550126926862,0.1018851404409215,0.6883344655628116,0.6800321170534612,0.7083355359323275,0.6024112364369626
seizure_detection,asr20,vit,0.6826599262112949,0.08939787366802816,0.7635508920918834,0.11490822006322989,0.6949716265254896,0.6826599262112949,0.732228040619572,0.5801726728901839
seizure_detection,bandpass,eegnet,0.6820938190452652,0.10380709675156122,0.7590238265462635,0.12003148566863449,0.6875981549093871,0.6820938190452652,0.7982291833099279,0.4796791411318867
seizure_detection,bandpass,lightgbm,0.6882192395432475,0.12485450264681842,0.7945238946916456,0.1338979706666502,0.6915414658749959,0.6882192395432475,0.7390329325700381,0.5851477309125956
seizure_detection,bandpass,logistic_regression,0.6826865602348203,0.09772175488952867,0.7504238620033223,0.09668273637102998,0.6853531685612982,0.6826865602348203,0.7360320460317632,0.5533910855612546
seizure_detection,bandpass,mlp,0.6847067368863402,0.09881677143454563,0.7491982459109001,0.08395269891228156,0.6908534424503723,0.6847067368863402,0.7360543616578051,0.5661798983709193
seizure_detection,bandpass,mobilenet,0.6813872019938427,0.1095278689958297,0.7908355614787088,0.12728413819153592,0.6877645041272945,0.6813872019938427,0.7025758152024885,0.6387821798117989
