task,method,classifier,repeat,seed,primary_name,primary,accuracy,balanced_accuracy,precision,recall,auc
attention_state,asr20,eegnet,6,126691620,accuracy,0.575,0.575,0.575,0.5779957153033969,0.575,0.7441115740740741
attention_state,asr20,eegnet,7,28155425,accuracy,0.6805555555555556,0.6805555555555556,0.6805555555555555,0.7078498311299661,0.6805555555555555,0.8619625000000001
attention_state,asr20,eegnet,8,149869551,accuracy,0.5566666666666666,0.5566666666666666,0.5566666666666668,0.6008966260512153,0.5566666666666668,0.7524851851851851
attention_state,asr20,eegnet,9,2044435244,accuracy,0.7819444444444444,0.7819444444444444,0.7819444444444444,0.7932265815283467,0.7819444444444444,0.9222822627314814
attention_state,asr20,eegnet,10,1786428360,accuracy,0.7104166666666667,0.7104166666666667,0.7104166666666666,0.7152731424261912,0.7104166666666666,0.8696043113425925
attention_state,asr20,lightgbm,1,2013945970,accuracy,0.4761111111111111,0.4761111111111111,0.4761111111111111,0.48986177159843985,0.4761111111111111,0.6650648148148147
attention_state,asr20,lightgbm,2,61155527,accuracy,0.5133333333333333,0.5133333333333333,0.5133333333333333,0.5062194243580894,0.5133333333333333,0.7557083333333333
attention_state,asr20,lightgbm,3,1072713694,accuracy,0.4855555555555556,0.4855555555555556,0.4855555555555555,0.496750179755038,0.4855555555555555,0.7056203703703704
attention_state,asr20,lightgbm,4,2111243235,accuracy,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.5509767605364351,0.4583333333333333,0.7051728877314813
attention_state,asr20,lightgbm,5,1626406676,accuracy,0.5340277777777778,0.5340277777777778,0.5340277777777778,0.5403083143978408,0.5340277777777778,0.7389171006944445
attention_state,asr20,lightgbm,6,126691620,accuracy,0.4761111111111111,0.4761111111111111,0.4761111111111111,0.48986177159843985,0.4761111111111111,0.6650648148148147
attention_state,asr20,lightgbm,7,28155425,accuracy,0.5133333333333333,0.5133333333333333,0.5133333333333333,0.5062194243580894,0.5133333333333333,0.7557083333333333
attention_state,asr20,lightgbm,8,149869551,accuracy,0.4855555555555556,0.4855555555555556,0.4855555555555555,0.496750179755038,0.4855555555555555,0.7056203703703704
attention_state,asr20,lightgbm,9,2044435244,accuracy,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.5509767605364351,0.4583333333333333,0.7051728877314813
