task,method,classifier,primary_mean,primary_std,auc_mean,auc_std,accuracy_mean,balanced_accuracy_mean,precision_mean,recall_mean
bci_errp,raw,eegnet,0.6660985691213888,0.020109917928522632,0.721637997231261,0.02690739594593135,0.6572058823529412,0.6660985691213888,0.8367660336962807,0.6448361675653256
bci_errp,raw,lightgbm,0.6008480259209664,0.0065827820982407165,0.6400354123479385,0.00810264535478184,0.7160588235294117,0.6008480259209664,0.7600292377101151,0.8763168809622564
bci_errp,raw,logistic_regression,0.6550635170198605,0.004368793023737894,0.6903475350380524,0.005120461912018236,0.689764705882353,0.6550635170198605,0.8078920216145352,0.7380340107839072
bci_errp,raw,mlp,0.6267332612281341,0.01410808710244924,0.6947923634471094,0.01473570092903313,0.7362352941176471,0.6267332612281341,0.7735389353072355,0.8885524678556616
bci_errp,raw,mobilenet,0.5188813992490603,0.017113368845493495,0.548121937748246,0.0198022767960673,0.6658235294117647,0.5188813992490603,0.7195857072863284,0.8702198257984239
bci_errp,raw,random_forest,0.5813789511251725,0.003946096365957331,0.6589224732111292,0.005399166416888019,0.7117058823529412,0.5813789511251725,0.7488238399422906,0.8929904603898796
bci_errp,raw,svm,0.6537346103698124,0.004239875091685686,0.6888054581315247,0.0052133551983579,0.6902058823529412,0.6537346103698124,0.8064764340202595,0.740937370385732
bci_errp,raw,vit,0.5652273305824879,0.025233656770544392,0.6006991045003961,0.022669073706858025,0.6076470588235294,0.5652273305824879,0.7553359163168935,0.6666528411447532
seizure_detection,asr,eegnet,0.6323670444638186,0.03645291120375826,0.7147789540813418,0.05103643859362001,0.6323670444638186,0.6323670444638186,0.7077601332763879,0.49385353095030515
seizure_detection,asr,lightgbm,0.8990627724498692,0.005676547783062304,0.9643297134634986,0.002985280835444215,0.8990627724498692,0.8990627724498692,0.8978373871183487,0.9006102877070619
seizure_detection,asr,logistic_regression,0.7950087183958152,0.004351835543871339,0.8606364999023267,0.004703832746069976,0.7950087183958152,0.7950087183958152,0.7988023571481062,0.7887532693984307
seizure_detection,asr,mlp,0.8853530950305144,0.00671797515580752,0.9399011408404776,0.0035865367224488533,0.8853530950305144,0.8853530950305144,0.8832327041896944,0.8890148212728859
seizure_detection,asr,mobilenet,0.6933958151700087,0.045872460130248045,0.793376518023212,0.03021831196542659,0.6933958151700087,0.6933958151700087,0.6736699092756455,0.7963818657367044
seizure_detection,asr,random_forest,0.8670880557977332,0.004457053368307349,0.943317381912103,0.0035359361444866192,0.8670880557977332,0.8670880557977332,0.8667246384477989,0.8676111595466434
seizure_detection,asr,svm,0.7882737576285963,0.004821990168796789,0.8537002255229327,0.004681725660567056,0.7882737576285963,0.7882737576285963,0.7930234082709163,0.7802964254577158
seizure_detection,asr,vit,0.7717523975588492,0.01280625215482373,0.8588413616811682,0.009760600539541243,0.7717523975588492,0.7717523975588492,0.78181050373811,0.7614210985178727
seizure_detection,bandpass,eegnet,0.8195292066259808,0.04563780426474165,0.9162901363551026,0.01612507699479424,0.8195292066259808,0.8195292066259808,0.9306406319981443,0.6939843068875327
seizure_detection,bandpass,lightgbm,0.912794245858762,0.004314780243857655,0.9702852633267179,0.002014854502626646,0.912794245858762,0.912794245858762,0.9263946646580618,0.8968613775065387
seizure_detection,bandpass,logistic_regression,0.8042284219703575,0.005362699368971451,0.8786024191078049,0.004899565345969875,0.8042284219703575,0.8042284219703575,0.8659550870062972,0.7199215344376635
seizure_detection,bandpass,mlp,0.8829773321708805,0.010082123645672673,0.9401366211389555,0.0025565844513264287,0.8829773321708805,0.8829773321708805,0.9067483321274477,0.8551874455100261
